scale,target_high_res_fractal,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8
0.5,1.7100927270428574,88.72728,39.3307208655219,0.18655,0.158113,1.5780209452138785,17.09442797883098,13.815511557963774,1.0,24033.544421293864
0.3,1.7100927270428574,88.546973,37.76023092537003,0.121032,0.150916,1.60324308298463,13.651751146043226,13.815511557963774,1.0,16220.886990755007
0.2,1.7100927270428574,88.56994,36.892413209173505,0.056855,0.148553,1.633160978538111,11.411928680252606,13.815511557963774,1.0,10720.612831668255
0.15,1.7100927270428574,88.548471,36.303527467205704,0.011622,0.146761,1.679425991178788,9.672429631559655,13.815511557963774,1.0,7749.894019554389
0.1,1.7100927270428574,88.557224,35.77876176468134,0.000209,0.144613,1.7353647986996579,7.890921621762661,13.815511557963774,1.0,5353.045399421218
0.5,1.5401159495895582,88.7412,35.796000091630354,0.1564,0.1516,1.4298271346903135,7.462721419193139,9.210440366976517,1.0,2648.226724915356
0.3,1.5401159495895582,88.5858,34.9170536895655,0.0691,0.1389,1.418053141435938,4.728496159098458,9.210440366976517,1.0,1993.9274880701198
0.2,1.5401159495895582,88.6059,34.430631495660954,0.0256,0.1379,1.3782476612036945,3.81832512562336,9.210440366976517,1.0,1742.8584525096044
0.15,1.5401159495895582,88.5739,33.83502828120585,0.0,0.1239,1.3352280555512692,3.0612473514594774,9.210440366976517,1.0,1536.2351069973372
0.5,1.6129179136990068,88.4786,36.06860327265252,0.146175,0.1442,1.563383807627077,9.315115660464395,10.596659732783579,1.0,4299.393419932411
0.3,1.6129179136990068,88.298325,35.31539292142132,0.0524,0.14365,1.5565170435144433,6.708484556445187,10.596659732783579,1.0,2975.304622136243
0.2,1.6129179136990068,88.314025,34.96758303485351,0.009925,0.1393,1.5623504789300218,5.472173119037894,10.596659732783579,1.0,2402.9963249590837
0.15,1.6129179136990068,88.286,34.68067911676471,0.0,0.136075,1.544248565493968,4.678460282704986,10.596659732783579,1.0,2133.4264470500116
0.1,1.6129179136990068,88.276725,34.214740949981994,0.0,0.126525,1.5417491448407803,3.8943876126490884,10.596659732783579,1.0,1905.0083231159392
0.5,1.6531786061235112,88.72872222222222,36.427896781489316,0.14614444444444444,0.14924444444444446,1.5876946430260823,9.998743029004945,11.407576060361786,1.0,6049.461360075258
0.3,1.6531786061235112,88.54767777777778,35.686420295347254,0.05533333333333333,0.14614444444444444,1.648005191403272,7.491533405400875,11.407576060361786,1.0,4090.416915817875
0.2,1.6531786061235112,88.55975555555555,35.32448106634992,0.01131111111111111,0.14655555555555555,1.6629825088880048,6.192883048474715,11.407576060361786,1.0,3133.264792710454
0.15,1.6531786061235112,88.54546666666667,35.056351136483734,0.0,0.14407777777777778,1.6673717177293952,5.205448868314852,11.407576060361786,1.0,2662.4091402331023
0.1,1.6531786061235112,88.55938888888889,34.69185920618984,0.0,0.13792222222222222,1.654680857674116,4.263560165264885,11.407576060361786,1.0,2285.825255646966
0.5,1.6495386653014719,88.73426875,36.863238879034675,0.1647375,0.14934375,1.622144946282276,11.44662518533378,11.982935344196433,1.0,8283.46232901949
0.3,1.6495386653014719,88.552425,35.960892669945984,0.06844375,0.145275,1.6286389530616046,8.68739275444536,11.982935344196433,1.0,5374.368314970113
0.2,1.6495386653014719,88.5717875,35.56410879039208,0.01769375,0.1448,1.6612150891153206,7.288416046246188,11.982935344196433,1.0,3944.64135881983
0.15,1.6495386653014719,88.542075,35.27453071543795,0.00129375,0.14449375,1.693429329108419,6.192991363791156,11.982935344196433,1.0,3207.8797625277707
0.1,1.6495386653014719,88.5565375,34.92395959096124,0.0,0.14090625,1.6993362913795647,5.043333812254033,11.982935344196433,1.0,2651.6371427046342
0.5,1.7093947343183444,88.725296,37.34043387150695,0.174596,0.150704,1.5838496003760196,12.571422564552666,12.429220196836383,1.0,10841.799931386706
0.3,1.7093947343183444,88.545216,36.27395742834443,0.082808,0.146912,1.636301897998546,9.548282859904921,12.429220196836383,1.0,6876.038503419712
0.2,1.7093947343183444,88.571472,35.81079172195466,0.021956,0.145144,1.6548789326713709,7.94586445993682,12.429220196836383,1.0,4861.652306880275
0.15,1.7093947343183444,88.544384,35.481429256169264,0.002448,0.144156,1.6774218532568375,6.750355205030916,12.429220196836383,1.0,3845.8453211706774
0.1,1.7093947343183444,88.556396,35.13916293099743,0.0,0.143608,1.7280677046878017,5.519752112947312,12.429220196836383,1.0,3058.2036034603016
0.5,1.6786884631598777,88.7219,37.775069664631694,0.1819611111111111,0.15209166666666665,1.591701095687002,13.75107388599584,12.793862088206213,1.0,13508.748322809646
0.3,1.6786884631598777,88.53939722222222,36.58735791185245,0.09700833333333334,0.1470861111111111,1.6346567952547741,10.592990226063487,12.793862088206213,1.0,8584.397325646878
0.2,1.6786884631598777,88.55881111111111,36.01677320866378,0.03141388888888889,0.14544166666666666,1.6580894586055723,8.824477941512328,12.793862088206213,1.0,5881.799424945473
0.15,1.6786884631598777,88.53573333333334,35.6623054314278,0.003897222222222222,0.14594444444444443,1.7048953691068722,7.539761285915167,12.793862088206213,1.0,4551.773577748867
0.1,1.6786884631598777,88.54550555555555,35.26939933206141,0.0,0.14504444444444445,1.7642076687039725,6.144427126707891,12.793862088206213,1.0,3441.131172020438
0.5,1.708231864606693,88.7265612244898,38.229055204756136,0.18773061224489795,0.15352040816326532,1.5854142701306837,14.730825929522272,13.102162710901053,1.0,16321.764571510826
0.3,1.708231864606693,88.54735102040816,36.89736767784845,0.10598979591836735,0.14876938775510204,1.638271520100744,11.401748435868676,13.102162710901053,1.0,10419.218517639834
0.2,1.708231864606693,88.56982040816327,36.262428110339535,0.03821020408163265,0.1465795918367347,1.648054179048199,9.494054143859833,13.102162710901053,1.0,7036.363178941224
0.15,1.708231864606693,88.54541428571429,35.811666249749806,0.005081632653061225,0.1452326530612245,1.690989685630731,7.987990477751593,13.102162710901053,1.0,5242.105292133658
0.1,1.708231864606693,88.5567469387755,35.42677685819653,0.0,0.1446795918367347,1.7467680617215047,6.542230934298528,13.102162710901053,1.0,3903.972010930583
0.5,1.6649075845837282,88.7275046875,38.629910258984104,0.189065625,0.1550265625,1.5983714904239867,15.6510424513182,13.369225017834633,1.0,18996.5232766816
0.3,1.6649075845837282,88.549971875,37.20207083868731,0.1135046875,0.1491953125,1.620757131552585,12.271655783599478,13.369225017834633,1.0,12357.192379667298
0.2,1.6649075845837282,88.566346875,36.467098072676116,0.0450125,0.147146875,1.652449527546351,10.203511147812602,13.369225017834633,1.0,8163.246193195246
0.15,1.6649075845837282,88.54699375,35.97583821591182,0.0067375,0.1454078125,1.6988437533225063,8.626294533256512,13.369225017834633,1.0,6042.654346366127
0.1,1.6649075845837282,88.5574046875,35.54641659614725,8.28125e-05,0.1447125,1.7529553595891507,7.062581155306756,13.369225017834633,1.0,4342.073641864183
0.5,1.7100927270428574,88.72728,39.3307208655219,0.18655,0.158113,1.5780209452138785,17.09442797883098,13.815511557963774,1.0,24033.544421293864
0.3,1.7100927270428574,88.546973,37.76023092537003,0.121032,0.150916,1.60324308298463,13.651751146043226,13.815511557963774,1.0,16220.886990755007
0.2,1.7100927270428574,88.56994,36.892413209173505,0.056855,0.148553,1.633160978538111,11.411928680252606,13.815511557963774,1.0,10720.612831668255
0.15,1.7100927270428574,88.548471,36.303527467205704,0.011622,0.146761,1.679425991178788,9.672429631559655,13.815511557963774,1.0,7749.894019554389
0.1,1.7100927270428574,88.557224,35.77876176468134,0.000209,0.144613,1.7353647986996579,7.890921621762661,13.815511557963774,1.0,5353.045399421218
0.5,1.5401159495895582,88.7412,35.796000091630354,0.1564,0.1516,1.4298271346903135,7.462721419193139,9.210440366976517,1.0,2648.226724915356
0.3,1.5401159495895582,88.5858,34.9170536895655,0.0691,0.1389,1.418053141435938,4.728496159098458,9.210440366976517,1.0,1993.9274880701198
0.2,1.5401159495895582,88.6059,34.430631495660954,0.0256,0.1379,1.3782476612036945,3.81832512562336,9.210440366976517,1.0,1742.8584525096044
0.15,1.5401159495895582,88.5739,33.83502828120585,0.0,0.1239,1.3352280555512692,3.0612473514594774,9.210440366976517,1.0,1536.2351069973372
0.5,1.6129179136990068,88.4786,36.06860327265252,0.146175,0.1442,1.563383807627077,9.315115660464395,10.596659732783579,1.0,4299.393419932411
0.3,1.6129179136990068,88.298325,35.31539292142132,0.0524,0.14365,1.5565170435144433,6.708484556445187,10.596659732783579,1.0,2975.304622136243
0.2,1.6129179136990068,88.314025,34.96758303485351,0.009925,0.1393,1.5623504789300218,5.472173119037894,10.596659732783579,1.0,2402.9963249590837
0.15,1.6129179136990068,88.286,34.68067911676471,0.0,0.136075,1.544248565493968,4.678460282704986,10.596659732783579,1.0,2133.4264470500116
0.1,1.6129179136990068,88.276725,34.214740949981994,0.0,0.126525,1.5417491448407803,3.8943876126490884,10.596659732783579,1.0,1905.0083231159392
0.5,1.6531786061235112,88.72872222222222,36.427896781489316,0.14614444444444444,0.14924444444444446,1.5876946430260823,9.998743029004945,11.407576060361786,1.0,6049.461360075258
0.3,1.6531786061235112,88.54767777777778,35.686420295347254,0.05533333333333333,0.14614444444444444,1.648005191403272,7.491533405400875,11.407576060361786,1.0,4090.416915817875
0.2,1.6531786061235112,88.55975555555555,35.32448106634992,0.01131111111111111,0.14655555555555555,1.6629825088880048,6.192883048474715,11.407576060361786,1.0,3133.264792710454
0.15,1.6531786061235112,88.54546666666667,35.056351136483734,0.0,0.14407777777777778,1.6673717177293952,5.205448868314852,11.407576060361786,1.0,2662.4091402331023
0.1,1.6531786061235112,88.55938888888889,34.69185920618984,0.0,0.13792222222222222,1.654680857674116,4.263560165264885,11.407576060361786,1.0,2285.825255646966
0.5,1.6495386653014719,88.73426875,36.863238879034675,0.1647375,0.14934375,1.622144946282276,11.44662518533378,11.982935344196433,1.0,8283.46232901949
0.3,1.6495386653014719,88.552425,35.960892669945984,0.06844375,0.145275,1.6286389530616046,8.68739275444536,11.982935344196433,1.0,5374.368314970113
0.2,1.6495386653014719,88.5717875,35.56410879039208,0.01769375,0.1448,1.6612150891153206,7.288416046246188,11.982935344196433,1.0,3944.64135881983
0.15,1.6495386653014719,88.542075,35.27453071543795,0.00129375,0.14449375,1.693429329108419,6.192991363791156,11.982935344196433,1.0,3207.8797625277707
0.1,1.6495386653014719,88.5565375,34.92395959096124,0.0,0.14090625,1.6993362913795647,5.043333812254033,11.982935344196433,1.0,2651.6371427046342
0.5,1.7093947343183444,88.725296,37.34043387150695,0.174596,0.150704,1.5838496003760196,12.571422564552666,12.429220196836383,1.0,10841.799931386706
0.3,1.7093947343183444,88.545216,36.27395742834443,0.082808,0.146912,1.636301897998546,9.548282859904921,12.429220196836383,1.0,6876.038503419712
0.2,1.7093947343183444,88.571472,35.81079172195466,0.021956,0.145144,1.6548789326713709,7.94586445993682,12.429220196836383,1.0,4861.652306880275
0.15,1.7093947343183444,88.544384,35.481429256169264,0.002448,0.144156,1.6774218532568375,6.750355205030916,12.429220196836383,1.0,3845.8453211706774
0.1,1.7093947343183444,88.556396,35.13916293099743,0.0,0.143608,1.7280677046878017,5.519752112947312,12.429220196836383,1.0,3058.2036034603016
0.5,1.708231864606693,88.7265612244898,38.229055204756136,0.18773061224489795,0.15352040816326532,1.5854142701306837,14.730825929522272,13.102162710901053,1.0,16321.764571510826
0.3,1.708231864606693,88.54735102040816,36.89736767784845,0.10598979591836735,0.14876938775510204,1.638271520100744,11.401748435868676,13.102162710901053,1.0,10419.218517639834
0.2,1.708231864606693,88.56982040816327,36.262428110339535,0.03821020408163265,0.1465795918367347,1.648054179048199,9.494054143859833,13.102162710901053,1.0,7036.363178941224
0.15,1.708231864606693,88.54541428571429,35.811666249749806,0.005081632653061225,0.1452326530612245,1.690989685630731,7.987990477751593,13.102162710901053,1.0,5242.105292133658
0.1,1.708231864606693,88.5567469387755,35.42677685819653,0.0,0.1446795918367347,1.7467680617215047,6.542230934298528,13.102162710901053,1.0,3903.972010930583
0.5,1.6649075845837282,88.7275046875,38.629910258984104,0.189065625,0.1550265625,1.5983714904239867,15.6510424513182,13.369225017834633,1.0,18996.5232766816
0.3,1.6649075845837282,88.549971875,37.20207083868731,0.1135046875,0.1491953125,1.620757131552585,12.271655783599478,13.369225017834633,1.0,12357.192379667298
0.2,1.6649075845837282,88.566346875,36.467098072676116,0.0450125,0.147146875,1.652449527546351,10.203511147812602,13.369225017834633,1.0,8163.246193195246
0.15,1.6649075845837282,88.54699375,35.97583821591182,0.0067375,0.1454078125,1.6988437533225063,8.626294533256512,13.369225017834633,1.0,6042.654346366127
0.1,1.6649075845837282,88.5574046875,35.54641659614725,8.28125e-05,0.1447125,1.7529553595891507,7.062581155306756,13.369225017834633,1.0,4342.073641864183
0.5,1.7100927270428574,88.72728,39.3307208655219,0.18655,0.158113,1.5780209452138785,17.09442797883098,13.815511557963774,1.0,24033.544421293864
0.3,1.7100927270428574,88.546973,37.76023092537003,0.121032,0.150916,1.60324308298463,13.651751146043226,13.815511557963774,1.0,16220.886990755007
0.2,1.7100927270428574,88.56994,36.892413209173505,0.056855,0.148553,1.633160978538111,11.411928680252606,13.815511557963774,1.0,10720.612831668255
0.15,1.7100927270428574,88.548471,36.303527467205704,0.011622,0.146761,1.679425991178788,9.672429631559655,13.815511557963774,1.0,7749.894019554389
0.1,1.7100927270428574,88.557224,35.77876176468134,0.000209,0.144613,1.7353647986996579,7.890921621762661,13.815511557963774,1.0,5353.045399421218
0.5,1.5401159495895582,88.7412,35.796000091630354,0.1564,0.1516,1.4298271346903135,7.462721419193139,9.210440366976517,1.0,2648.226724915356
0.3,1.5401159495895582,88.5858,34.9170536895655,0.0691,0.1389,1.418053141435938,4.728496159098458,9.210440366976517,1.0,1993.9274880701198
0.2,1.5401159495895582,88.6059,34.430631495660954,0.0256,0.1379,1.3782476612036945,3.81832512562336,9.210440366976517,1.0,1742.8584525096044
0.15,1.5401159495895582,88.5739,33.83502828120585,0.0,0.1239,1.3352280555512692,3.0612473514594774,9.210440366976517,1.0,1536.2351069973372
0.5,1.6129179136990068,88.4786,36.06860327265252,0.146175,0.1442,1.563383807627077,9.315115660464395,10.596659732783579,1.0,4299.393419932411
0.3,1.6129179136990068,88.298325,35.31539292142132,0.0524,0.14365,1.5565170435144433,6.708484556445187,10.596659732783579,1.0,2975.304622136243
0.2,1.6129179136990068,88.314025,34.96758303485351,0.009925,0.1393,1.5623504789300218,5.472173119037894,10.596659732783579,1.0,2402.9963249590837
0.15,1.6129179136990068,88.286,34.68067911676471,0.0,0.136075,1.544248565493968,4.678460282704986,10.596659732783579,1.0,2133.4264470500116
0.1,1.6129179136990068,88.276725,34.214740949981994,0.0,0.126525,1.5417491448407803,3.8943876126490884,10.596659732783579,1.0,1905.0083231159392
0.5,1.6531786061235112,88.72872222222222,36.427896781489316,0.14614444444444444,0.14924444444444446,1.5876946430260823,9.998743029004945,11.407576060361786,1.0,6049.461360075258
0.3,1.6531786061235112,88.54767777777778,35.686420295347254,0.05533333333333333,0.14614444444444444,1.648005191403272,7.491533405400875,11.407576060361786,1.0,4090.416915817875
0.2,1.6531786061235112,88.55975555555555,35.32448106634992,0.01131111111111111,0.14655555555555555,1.6629825088880048,6.192883048474715,11.407576060361786,1.0,3133.264792710454
0.15,1.6531786061235112,88.54546666666667,35.056351136483734,0.0,0.14407777777777778,1.6673717177293952,5.205448868314852,11.407576060361786,1.0,2662.4091402331023
0.1,1.6531786061235112,88.55938888888889,34.69185920618984,0.0,0.13792222222222222,1.654680857674116,4.263560165264885,11.407576060361786,1.0,2285.825255646966
0.5,1.6495386653014719,88.73426875,36.863238879034675,0.1647375,0.14934375,1.622144946282276,11.44662518533378,11.982935344196433,1.0,8283.46232901949
0.3,1.6495386653014719,88.552425,35.960892669945984,0.06844375,0.145275,1.6286389530616046,8.68739275444536,11.982935344196433,1.0,5374.368314970113
0.2,1.6495386653014719,88.5717875,35.56410879039208,0.01769375,0.1448,1.6612150891153206,7.288416046246188,11.982935344196433,1.0,3944.64135881983
0.15,1.6495386653014719,88.542075,35.27453071543795,0.00129375,0.14449375,1.693429329108419,6.192991363791156,11.982935344196433,1.0,3207.8797625277707
0.1,1.6495386653014719,88.5565375,34.92395959096124,0.0,0.14090625,1.6993362913795647,5.043333812254033,11.982935344196433,1.0,2651.6371427046342
0.5,1.708231864606693,88.7265612244898,38.229055204756136,0.18773061224489795,0.15352040816326532,1.5854142701306837,14.730825929522272,13.102162710901053,1.0,16321.764571510826
0.3,1.708231864606693,88.54735102040816,36.89736767784845,0.10598979591836735,0.14876938775510204,1.638271520100744,11.401748435868676,13.102162710901053,1.0,10419.218517639834
0.2,1.708231864606693,88.56982040816327,36.262428110339535,0.03821020408163265,0.1465795918367347,1.648054179048199,9.494054143859833,13.102162710901053,1.0,7036.363178941224
0.15,1.708231864606693,88.54541428571429,35.811666249749806,0.005081632653061225,0.1452326530612245,1.690989685630731,7.987990477751593,13.102162710901053,1.0,5242.105292133658
0.1,1.708231864606693,88.5567469387755,35.42677685819653,0.0,0.1446795918367347,1.7467680617215047,6.542230934298528,13.102162710901053,1.0,3903.972010930583
0.5,1.6649075845837282,88.7275046875,38.629910258984104,0.189065625,0.1550265625,1.5983714904239867,15.6510424513182,13.369225017834633,1.0,18996.5232766816
0.3,1.6649075845837282,88.549971875,37.20207083868731,0.1135046875,0.1491953125,1.620757131552585,12.271655783599478,13.369225017834633,1.0,12357.192379667298
0.2,1.6649075845837282,88.566346875,36.467098072676116,0.0450125,0.147146875,1.652449527546351,10.203511147812602,13.369225017834633,1.0,8163.246193195246
0.15,1.6649075845837282,88.54699375,35.97583821591182,0.0067375,0.1454078125,1.6988437533225063,8.626294533256512,13.369225017834633,1.0,6042.654346366127
0.1,1.6649075845837282,88.5574046875,35.54641659614725,8.28125e-05,0.1447125,1.7529553595891507,7.062581155306756,13.369225017834633,1.0,4342.073641864183
0.5,1.7100927270428574,88.72728,39.3307208655219,0.18655,0.158113,1.5780209452138785,17.09442797883098,13.815511557963774,1.0,24033.544421293864
0.3,1.7100927270428574,88.546973,37.76023092537003,0.121032,0.150916,1.60324308298463,13.651751146043226,13.815511557963774,1.0,16220.886990755007
0.2,1.7100927270428574,88.56994,36.892413209173505,0.056855,0.148553,1.633160978538111,11.411928680252606,13.815511557963774,1.0,10720.612831668255
0.15,1.7100927270428574,88.548471,36.303527467205704,0.011622,0.146761,1.679425991178788,9.672429631559655,13.815511557963774,1.0,7749.894019554389
